OBJECTID,CNTYPT_,NAME,PYNAME,ADCODE93,POINT_X,POINT_Y
199,266.000000000000000,太仆寺旗,Taibus Qi,152527,115.277530000000070,41.890621000000067
200,267.000000000000000,化德县,Huade Xian,152625,113.985790000000065,41.889935000000037
201,268.000000000000000,康保县,Kangbao Xian,132522,114.603690000000029,41.848736000000088
202,270.000000000000000,抚顺县,Fushun Xian,210401,123.788850000000025,41.846016000000077
203,272.000000000000000,北票市,Beipiao Shi,211381,120.762390000000096,41.811039000000051
204,274.000000000000000,拜城县,Baicheng Xian,652926,81.866699000000040,41.793251000000055
205,276.000000000000000,轮台县,Luntai(Buuguur) Xian,652822,84.251190000000065,41.773773000000062
206,279.000000000000000,库尔勒市,Korla Shi,652801,86.136261000000047,41.756794000000070
207,281.000000000000000,新宾满族自治县,Xinbin Manzu Zizhixian,210422,125.033710000000042,41.722427000000039
208,282.000000000000000,库车县,Kuqa Xian,652923,82.964897000000065,41.715538000000038
209,283.000000000000000,达尔罕茂明安联合旗,Darhan Muminggan Lianheqi,152633,110.428920000000062,41.694759000000033
210,284.000000000000000,黑山县,Heishan Xian,210726,122.112980000000107,41.685833000000059
211,285.000000000000000,通化县,Tonghua Xian,220521,125.754330000000095,41.679268000000036
212,286.000000000000000,沽源县,Guyuan Xian,132523,115.696590000000015,41.666111000000058
213,288.000000000000000,北镇满族自治县,Beizhen Manzu Zizhixian,210725,121.786600000000021,41.595165000000065
214,289.000000000000000,宁城县,Ningcheng Xian,150429,119.335050000000024,41.593380000000082
215,290.000000000000000,朝阳县,Chaoyang Xian,211301,120.450780000000009,41.580082000000061
216,292.000000000000000,乌拉特中旗,Urad Zhongqi,152825,108.520630000000040,41.560913000000085
217,293.000000000000000,商都县,Shangdu Xian,152626,113.535730000000058,41.553158000000053
218,294.000000000000000,新和县,Xinhe Xian,652925,82.600357000000031,41.545689000000039
219,295.000000000000000,义县,Yi Xian,210727,121.243030000000090,41.539394000000073
220,296.000000000000000,四子王旗,Dorbod Qi,152634,111.691530000000057,41.514668000000086
221,297.000000000000000,辽中县,Liaozhong Xian,210122,122.729200000000105,41.506771000000072
222,298.000000000000000,察哈尔右翼后旗,Qahar Youyi Houqi,152632,113.176550000000020,41.450794000000087
223,299.000000000000000,乌拉特后旗,Urad Houqi,152826,107.056650000000047,41.443302000000074
224,300.000000000000000,灯塔县,Dengta Xian,211022,123.315540000000055,41.422836000000075
225,301.000000000000000,长白朝鲜族自治县,Changbai Chaosenzu Zizhixian,220623,128.192499999999995,41.420891000000040
226,302.000000000000000,建平县,Jianping Xian,211322,119.636960000000045,41.402134000000046
227,303.000000000000000,台安县,Tai'an Xian,210321,122.423030000000040,41.384235000000047
228,304.000000000000000,尉犁县,Yuli(Lopnur) Xian,652823,86.263771000000077,41.331844000000046
229,305.000000000000000,隆化县,Longhua Xian,132628,117.726200000000063,41.313469000000055
230,306.000000000000000,本溪满族自治县,Benxi Manzu Zizhixian,210521,124.112640000000056,41.295799000000045
231,308.000000000000000,温宿县,Wensu Xian,652922,80.244057000000055,41.272869000000071
232,310.000000000000000,察哈尔右翼中旗,Qahar Youyi Zhongqi,152631,112.627260000000092,41.265259000000071
233,311.000000000000000,桓仁满族自治县,Huanren Manzu Zizhixian,210522,125.352040000000102,41.264675000000068
234,312.000000000000000,凌源县,Lingyuan Xian,211323,119.389890000000037,41.239494000000036
235,313.000000000000000,沙雅县,Shaya Xian,652924,82.776695000000075,41.218521000000067
236,314.000000000000000,乌什县,Wushi(Uqturpan) Xian,652927,79.229652000000044,41.213226000000077
237,315.000000000000000,辽阳县,Liaoyang Xian,211021,123.074350000000095,41.208042000000034
238,317.000000000000000,丰宁满族自治县,Fengning Manzu Zizhixian,132627,116.640150000000062,41.202972000000045
239,318.000000000000000,盘山县,Panshan Xian,211101,122.049390000000017,41.188980000000072
240,320.000000000000000,锦县,Jin Xian,210724,121.354940000000056,41.171371000000079
241,321.000000000000000,阿克苏市,Aksu Shi,652901,80.260826000000066,41.166874000000064
242,322.000000000000000,张北县,Zhangbei Xian,132521,114.712820000000079,41.155540000000087
243,323.000000000000000,集安市,Ji'an Shi,220582,126.183750000000032,41.122410000000059
244,324.000000000000000,喀喇沁左翼蒙古族自治县,Harqin Zuoyi Mongolzu Zizhixian,211324,119.735850000000028,41.122234000000049
245,330.000000000000000,武川县,Wuchuan Xian,152621,111.442790000000059,41.095356000000038
246,331.000000000000000,五原县,Wuyuan Xian,152822,108.268560000000036,41.093098000000055
247,333.000000000000000,尚义县,Shangyi Xian,132524,113.962320000000091,41.075169000000074
248,336.000000000000000,固阳县,Guyang Xian,150222,110.053460000000030,41.027855000000045
249,337.000000000000000,平泉县,Pingquan Xian,132624,118.680120000000102,41.006470000000036
250,338.000000000000000,大洼县,Dawa Xian,211121,122.061329999999998,40.991978000000074
251,339.000000000000000,崇礼县,Chongli Xian,132533,115.269680000000108,40.975365000000068
252,341.000000000000000,滦平县,Luanping Xian,132626,117.331810000000019,40.928925000000049
253,342.000000000000000,阿合奇县,Akqi Xian,653023,78.454994000000056,40.928486000000078
254,343.000000000000000,赤城县,Chicheng Xian,132532,115.813980000000015,40.913486000000034
255,344.000000000000000,卓资县,Zhuozi Xian,152624,112.564010000000053,40.894535000000076
256,345.000000000000000,杭锦后旗,Hanggin Houqi,152827,107.144450000000063,40.882214000000033
257,346.000000000000000,兴和县,Xinghe Xian,152627,113.888149999999996,40.876690000000053
258,347.000000000000000,海城市,Haicheng Shi,210381,122.750340000000051,40.849636000000089
259,349.000000000000000,建昌县,Jianchang Xian,211422,119.793780000000083,40.808987000000059
260,351.000000000000000,察哈尔右翼前旗,Qahar Youyi Qianqi,152630,113.204510000000028,40.779865000000086
261,353.000000000000000,承德县,Chengde Xian,130821,118.156770000000051,40.758366000000080
262,355.000000000000000,万全县,Wanquan Xian,132528,114.720730000000003,40.750710000000083
263,356.000000000000000,宽甸满族自治县,Kuandian Manzu Zizhixian,210624,124.772810000000050,40.728577000000087
264,358.000000000000000,乌拉特前旗,Urad Qianqi,152824,108.650830000000042,40.718399000000034
265,359.000000000000000,土默特左旗,Tumd Zuoqi,150121,111.124910000000057,40.708229000000074
266,361.000000000000000,怀安县,Huai'an Xian,132527,114.418660000000045,40.668831000000068
267,366.000000000000000,营口县,Yingkou Xian,210821,122.496250000000032,40.637245000000064
268,367.000000000000000,阿瓦提县,Awat Xian,652928,80.375763000000063,40.631172000000049
269,368.000000000000000,兴城市,Xingcheng Shi,211481,120.703440000000001,40.619228000000078
270,369.000000000000000,宣化县,Xuanhua Xian,130701,115.051150000000007,40.610363000000063
271,370.000000000000000,宽城满族自治县,Kuancheng Manzu Zizhixian,132622,118.480320000000006,40.599129000000062
272,372.000000000000000,土默特右旗,Tumd Youqi,150221,110.513110000000040,40.548046000000056
273,373.000000000000000,安西县,Anxi Xian,622126,95.789055000000076,40.534412000000088
274,374.000000000000000,凉城县,Liangcheng Xian,152629,112.495670000000018,40.524708000000089
275,375.000000000000000,柯坪县,Kalpin Xian,652929,79.044777000000067,40.503178000000048
276,376.000000000000000,延庆县,Yanqing Xian,110229,115.968350000000100,40.459694000000070
277,377.000000000000000,凤城满族自治县,Fengcheng Manzu Zizhixian,210621,124.066150000000107,40.455757000000062
278,378.000000000000000,丰镇市,Fengzhen Shi,152602,113.153830000000085,40.436588000000086
279,379.000000000000000,天镇县,Tianzhen Xian,142122,114.082050000000095,40.415791000000070
280,380.000000000000000,兴隆县,Xinglong Xian,132623,117.490940000000023,40.412117000000080
281,381.000000000000000,青龙满族自治县,Qinglong Manzu Zizhixian,130321,118.944530000000100,40.404373000000078
282,382.000000000000000,盖县,Gai Xian,210824,122.359470000000101,40.397961000000066
283,383.000000000000000,怀来县,Huailai Xian,132529,115.510700000000043,40.397659000000033
284,384.000000000000000,达拉特旗,Dalad Qi,152722,110.029050000000041,40.396904000000063
285,385.000000000000000,涿鹿县,Zhuolu Xian,132530,115.214740000000006,40.376556000000051
286,386.000000000000000,和林格尔县,Horinger Xian,152622,111.821570000000065,40.372364000000061
287,387.000000000000000,密云县,Miyun Xian,110228,116.840460000000007,40.371483000000069
288,388.000000000000000,阳高县,Yanggao Xian,142121,113.752090000000067,40.353703000000053
289,389.000000000000000,绥中县,Suizhong Xian,211421,120.333030000000008,40.328262000000052
290,390.000000000000000,磴口县,Dengkou Xian,152823,107.000000000000057,40.324913000000038
291,391.000000000000000,怀柔县,Huairou Xian,110227,116.625610000000052,40.312084000000084
292,393.000000000000000,岫岩满族自治县,Xiuyan Manzu Zizhixian,210622,123.268770000000018,40.278419000000042
293,394.000000000000000,托克托县,Togtoh Xian,150122,111.155300000000068,40.271236000000044
294,396.000000000000000,昌平县,Changping Xian,110221,116.223680000000058,40.222099000000071
295,397.000000000000000,遵化县,Zunhua Xian,130228,117.957980000000020,40.184448000000089
296,398.000000000000000,迁西县,Qianxi Xian,130227,118.311040000000048,40.141926000000069
297,399.000000000000000,敦煌市,Dunhuang Shi,622103,94.650879000000032,40.140526000000079
298,400.000000000000000,平谷县,Pinggu Xian,110226,117.112840000000006,40.136341000000073
299,402.000000000000000,顺义县,Shunyi Xian,110222,116.641450000000077,40.127552000000037
300,403.000000000000000,阳原县,Yangyuan Xian,132526,114.164380000000051,40.111378000000059
301,405.000000000000000,蓟县,Ji Xian,120225,117.401820000000043,40.043865000000039
302,406.000000000000000,大同县,Datong Xian,142132,113.593960000000038,40.039005000000088
303,407.000000000000000,迁安县,Qian'an Xian,130226,118.691510000000108,40.008873000000051
304,408.000000000000000,左云县,Zuoyun Xian,142130,112.693570000000022,40.008095000000083
305,409.000000000000000,金塔县,Jinta Xian,622123,98.901070000000061,39.986385000000041
306,410.000000000000000,右玉县,Youyu Xian,142131,112.457380000000057,39.984413000000075
